species,leaf_phenology
Abies alba,e
Abies balsamea,e
Abies sachalinensis,e
Acer campestre,d
Acer negundo,d
Acer platanoides,d
Acer pseudoplatanus,d
Acer rubrum,d
Acer saccharum,d
Acer tataricum,d
Adenostoma fasciculatum,e
Adenostoma sparsifolium,e
Adesmia boronioides,e
Alnus alnobetula,d
Alnus glutinosa,d
Alnus incana,d
Amelanchier ovalis,d
Anacardium excelsum,e
Araucaria araucana,e
Araucaria cunninghamii,e
Arbutus unedo,e
Arctostaphylos glandulosa,d
Arctostaphylos glauca,e
Artemisia tridentata,d
Atriplex confertifolia,e
Banksia attenuata,e
Banksia ilicifolia,e
Bauhinia variegata,d
Berberis microphylla,e
Betula papyrifera,d
Betula pendula,d
Brachystegia boehmii,d
Brachystegia floribunda,d
Brachystegia longifolia,d
Brachystegia spiciformis,d
Bursera simaruba,d
Carpinus betulus,d
Caryocar brasiliense,e
Ceanothus crassifolius,e
Ceanothus greggii,e
Ceanothus leucodermis,e
Ceanothus megacarpus,e
Ceanothus oliganthus,e
Ceanothus spinosus,e
Cedrus deodara,e
Cercocarpus betuloides,e
Chamaecyparis lawsoniana,e
Chamaecyparis obtusa,e
Chamaecyparis pisifera,e
Chrysothamnus viscidiflorus,d
Colliguaja integerrima,e
Cornus sanguinea,d
Corylus avellana,d
Crataegus monogyna,d
Cryptomeria japonica,e
Cunninghamia lanceolata,e
Cupressus macrocarpa,e
Dicorynia guianensis,e
Elaeagnus rhamnoides,d
Encelia farinosa,e
Enterolobium cyclocarpum,d
Eperua falcata,e
Ericameria nauseosa,d
Erythrophleum africanum,d
Eucalyptus camaldulensis,e
Eucalyptus globulus,e
Eucalyptus grandis,e
Eucalyptus populnea,e
Eucalyptus regnans,e
Eucalyptus saligna,e
Eucalyptus sideroxylon,e
Eucalyptus tereticornis,e
Eucalyptus viminalis,e
Euonymus europaeus,d
Fagus grandifolia,d
Fagus sylvatica,d
Faramea occidentalis,e
Frangula alnus,d
Fraxinus americana,d
Fraxinus angustifolia,d
Fraxinus excelsior,d
Ginkgo biloba,d
Goupia glabra,d
Heteromeles arbutifolia,e
Ilex aquifolium,e
Isoberlinia angolensis,d
Juglans cinerea,d
Juglans microcarpa,d
Juglans nigra,d
Juglans regia,d
Julbernardia paniculata,e
Juniperus ashei,e
Juniperus chinensis,e
Juniperus communis,e
Juniperus monosperma,e
Juniperus scopulorum,e
Juniperus virginiana,e
Larix decidua,d
Larix gmelinii,d
Larix kaempferi,d
Larix occidentalis,d
Larix sibirica,d
Leucadendron salignum,e
Ligustrum vulgare,d
Liquidambar styraciflua,d
Lycium chilense,d
Malus domestica,d
Malus sylvestris,d
Marquesia macroura,e
Melia azedarach,d
Metasequoia glyptostroboides,d
Morus alba,d
Mulinum spinosum,e
Myrtus communis,e
Pericopsis angolensis,d
Picea abies,e
Picea glauca,e
Picea mariana,e
Picea sitchensis,e
Pinus banksiana,e
Pinus caribaea,e
Pinus cembra,e
Pinus contorta,e
Pinus densiflora,e
Pinus echinata,e
Pinus edulis,e
Pinus mugo,e
Pinus nigra,e
Pinus pinaster,e
Pinus ponderosa,e
Pinus radiata,e
Pinus sylvestris,e
Pinus tabuliformis,e
Pinus taeda,e
Pinus wallichiana,e
Piptadenia obliqua,d
Pistacia lentiscus,e
Platycladus orientalis,e
Populus alba,d
Populus angustifolia,d
Populus balsamifera,d
Populus deltoides,d
Populus euphratica,d
Populus fremontii,d
Populus grandidentata,d
Populus nigra,d
Populus tremula,d
Populus tremuloides,d
Populus trichocarpa,d
Protea repens,e
Prunus armeniaca,d
Prunus avium,d
Prunus dulcis,d
Prunus mahaleb,d
Prunus padus,d
Prunus persica,d
Prunus spinosa,d
Pseudotsuga menziesii,e
Psychotria horizontalis,e
Quercus agrifolia,e
Quercus coccifera,e
Quercus douglasii,d
Quercus ilex,e
Quercus kelloggii,d
Quercus lobata,d
Quercus petraea,d
Quercus pubescens,d
Quercus robur,d
Quercus rubra,d
Quercus suber,e
Quercus wislizeni,e
Rhododendron ferrugineum,e
Rhododendron hirsutum,e
Rhus trilobata,d
Robinia pseudoacacia,d
Rosmarinus officinalis,e
Salix alba,d
Salix caprea,d
Salix cinerea,d
Salix purpurea,d
Salvia mellifera,e
Sambucus nigra,d
Schinus johnstonii,e
Sciadopitys verticillata,e
Senecio filaginoides,e
Sequoia sempervirens,e
Sequoiadendron giganteum,e
Sorbus aria,d
Sorbus aucuparia,d
Sorbus torminalis,d
Taxodium distichum,d
Taxus baccata,e
Tetragastris panamensis,e
Thuja occidentalis,e
Thuja plicata,e
Thujopsis dolabrata,e
Tilia cordata,d
Tilia platyphyllos,d
Torreya nucifera,e
Tsuga canadensis,e
Ulex europaeus,e
Ulmus minor,d
Vaccinium myrtillus,d
Vaccinium uliginosum,d
Vaccinium vitis-idaea,e
Viburnum lantana,d
Vitis vulpina,d
