binomial,species_wfo,flag
Abies faxoniana,Abies fargesii,NA
Acer ginnala,Acer tataricum,NA
Acer semenovii,Acer tataricum,NA
Atriplex torreyi,Atriplex lentiformis,NA
Betula odorata,Betula pubescens,NA
Camphorosma lessingii,Camphorosma monspeliaca,NA
Cercocarpus betuloides,Cercocarpus betuloides,NA
Chrysothamnus nauseosus,Ericameria nauseosa,NA
Cupressus benthamii,Hesperocyparis benthamii,NA
Cybianthus magnoliifolius,Cybianthus fulvopulverulentus,NA
Jacquinia pungens,Bonellia macrocarpa,NA
Juniperus conferta,Juniperus rigida,NA
Krascheninnikovia lanata,Krascheninnikovia ceratoides,NA
Pinus pentaphylla,Pinus parviflora,NA
Prestoea montana,Prestoea acuminata,NA
Rhamnus fallax,Rhamnus fallax,NA
Thymus pannonicus,Thymus pulegioides,NA
Ulex jussiaei,Ulex jussiaei,NA
Acacia albida,Faidherbia albida,1
Acacia arabica,Acacia nilotica,1
Acacia tortillis,Acacia tortilis,1
Acanthosicyos horrida,Acanthosicyos horridus,1
Acanthyllis tragacanthoi,Acanthyllis tragacanthoides,1
Achyropsis greenwayi,Achyropsis fruticulosa,1
Adenostoma fasciculaturn,Adenostoma fasciculatum,1
Adesmia volckmanni,Adesmia volckmannii,1
Alnus viridis,Alnus alnobetula,1
Amygdalus orientalis,Prunus orientalis,1
Amygdalus pedunculata,Prunus pedunculata,1
Anabasis aretoides,Anabasis aretioides,1
Arctostaphylos alpina,Arctous alpina,1
Arctostaphylos glandalosa,Arctostaphylos glandulosa,1
Argythamnia mercurialina,Ditaxis mercurialina,1
Aristolochia giberti,Aristolochia gibertii,1
Armeniaca vulgaris,Prunus armeniaca,1
Artemeisia tridentata,Artemisia tridentata,1
Artemesia tridentata,Artemisia tridentata,1
Artemisia diffusa,Seriphidium diffusum,1
Artemisia monogyna,Artemisia santonicum,1
Artemisia spinescens,Picrothamnus desertorum,1
Arthrocnemum fruticosum,Sarcocornia fruticosa,1
Astragalus denudatus,Astracantha denudata,1
Astragalus micropterus,Astracantha microptera,1
Atriplex confertijolia,Atriplex confertifolia,1
Atriplex Halimus,Atriplex halimus,1
Baccharis glutinosa,Baccharis salicina,1
Baccharis rosmarinifolia,Baccharis linearis,1
Banksia hookeriarra,Banksia hookeriana,1
Berberis heterophylla,Berberis microphylla,1
Betula verrucosa,Betula pendula,1
Bouteloua eriopoda,Chondrosum eriopodum,1
Buchenavia and,Buchenavia grandis,1
Bulnesia schikendantzii,Bulnesia schickendantzii,1
Butea frondosa,Butea monosperma,1
Caatinga palms,Caatinganthus,1
Caesalpinia jamesii,Pomaria jamesii,1
Capparis yco,Colicodendron yco,1
Cassia siamea,Senna siamea,1
Ceanothus gregii,Ceanothus greggii,1
Ceanothus leucoderuis,Ceanothus leucodermis,1
Ceanothus olihgaitlis,Ceanothus oliganthus,1
Ceanothus ovatus,Ceanothus herbaceus,1
Chrysocoma tenuifolia,Galatella linosyris,1
Chrysopsis villosa,Heterotheca villosa,1
Cistus salvifolius,Cistus salviifolius,1
Cochlospermum insigne,Cochlospermum regium,1
Coiliguaya odorifera,Colliguaja odorifera,1
Colliguaya integerrima,Colliguaja integerrima,1
Colliguaya odorifera,Colliguaja odorifera,1
Correa rubra,Correa reflexa,1
Cotoneaster megalocarpa,Cotoneaster megalocarpus,1
Cowania stansburiana,Cowania stansburyana,1
Crataegus songorica,Crataegus songarica,1
Dialium engleranum,Dialium englerianum,1
Dicorynia quianensis,Dicorynia guianensis,1
Elytropappus rhinocerotis,Dicerothamnus rhinocerotis,1
Ephedra viriidis,Ephedra viridis,1
Erica carnea,Erica herbacea,1
Erica plukenettii,Erica plukenetii,1
Eriodictyon crasssifolium,Eriodictyon crassifolium,1
Eterolobium cyclocarpum,Enterolobium cyclocarpum,1
Eucalyptos grandis,Eucalyptus grandis,1
Eucalyptus calophylla,Corymbia calophylla,1
Eucalyptus camuldulensis,Eucalyptus camaldulensis,1
Eucalyptus citriodora,Corymbia citriodora,1
Eucalyptus diversicolour,Eucalyptus diversicolor,1
Eucalyptus signata,Eucalyptus racemosa,1
Euonymus europea,Euonymus europaeus,1
Euphorbia collina,Euphorbia arizonica,1
Eurotia ceratoides,Krascheninnikovia ceratoides,1
Eurycoma lonaifolia,Eurycoma longifolia,1
Fraxinus japonica,Fraxinus longicuspis,1
Gilia rigidula,Giliastrum rigidulum,1
Haloxylon aphyllum,Haloxylon ammodendron,1
Haloxylon articulatum,Haloxylon salicornicum,1
Haplopappus spinulosus,Xanthisma spinulosum,1
Hedyotis nigricans,Stenaria nigricans,1
Hippophae rhamnoides,Elaeagnus rhamnoides,1
Hulthemia berberifolia,Rosa berberifolia,1
Hymenoclea salsola,Ambrosia salsola,1
Juglans regig,Juglans regia,1
Juglans ruvestris,Juglans microcarpa,1
Juniperus turkestanica,Juniperus pseudosabina,1
Juniperus virginlana,Juniperus virginiana,1
Kochia prostrata,Bassia prostrata,1
Larix dahurica,Larix gmelinii,1
Larix leptolepis,Larix kaempferi,1
Lithraea caustica,Lithrea caustica,1
Lotus scoparius,Syrmatium glabrum,1
Lycium species,Athyrium species,1
Mendora spinescens,Menodora spinescens,1
Milicia excelsea,Milicia excelsa,1
Monotes africanus,Monotes africana,1
Nephelium litchi,Litchi chinensis,1
