Species,Dr,EU_soil_texture
Agropyron cristatum,0.75,M
Artemisia tridentata ssp. wyomingensis,0.75,C
Chrysothamnus viscidiflorus,1,M
Elymus elymoides,0.5,C
Elymus lanceolatus,0.75,F
Leymus cinereus,1,C
Acacia seyal,1.2,F
Balanites aegyptiaca,1.3,F
Acacia mellifera,0.6,F
Achillea wilhelmsii,0.11,
Ajuga chamaepitys ssp. chia,0.32,
Alhagi pseudalhagi,3.5,
Allium scorodoprasum ssp. rotundum,0.07,
Alyssum linifolium,0.21,
Amygdalus orientalis,3,
Artemisia lerchiana,1.3,
Astragalus micropterus,1.36,
Consolida regalis ssp. paniculata,0.45,
Convolvulus galaticus,0.36,
Convolvulus galaticus,1.67,
Crocus ancyrensis,0.06,
Euphorbia macroclada,3,
Hypecoum procumbens,0.2,
Iris acutiloba,0.09,
Linum hirsutum,0.32,
Moltkia aurea,0.18,
Onosma montana,0.35,
Peganum harmala,1.4,
Querucs cerris,4.5,
Ranunculus illyricus,0.18,
Salvia ceratophylla,0.43,
Scolymus hispanicus,0.8,
Silene dichotoma,0.17,
Wiedemannia orientalis,0.23,
Ambrosia psilostachya,1.59,F
Amorpha canescens,2.74,F
Andropogon gerardi,2.13,F
Argythamnia mercurialina,0.61,F
Aristida longiseta,1.75,F
Asclepias asperula ssp. capricornu,0.61,F
Aster multiflorus,1.2,F
Bouteloua curtipendula,1.91,F
Bouteloua gracilis,0.91,F
Bouteloua gracilis,1.68,F
Brickellia eupatorioides,3.35,F
Brickellia eupatorioides,4.27,F
Buchloe dactyloides,1.49,F
Carex gravida,1.88,F
Chaetopappa ericoides,0.61,F
Clematis fremontii,0.61,F
Dalea purpurea,0.91,F
Elymus canadensis,1.23,F
Evolvulus nuttallianus,0.65,F
Gaura coccinea,0.95,F
Glycyrrhiza lepidota,3.66,F
Gutierrezia sarothrae,1.52,F
Hedyotis nigricans,0.61,F
Lesquerella ovalifolia,0.65,F
Lithospermum incisum,0.64,F
Lygodesmia juncea,1.38,F
Machaeranthera pinnatifida,0.75,F
Minuartia michauxii var. texana,0.61,F
Mirabilis linearis,1.29,F
Oenothera macrocarpa ssp. fremontii,0.65,F
Packera plattensis,0.61,F
Panicum virgatum,2.4,F
Paronychia jamesii,0.65,F
Pascopyrum smithii,2.18,F
Prunus pumila var. besseyi,3.35,F
Psoralidium tenuiflorum,2.42,F
Psoralidium tenuiflorum,2.68,F
Ratibida columnifera,0.64,F
Rhus glabra,1.52,F
Rhus trilobata,2.44,F
Rosa arkansana var. suffulta,3.66,F
Salvia azurea var. grandiflora,1.38,F
Schizachyrium scoparium,1.22,F
Scutellaria resinosa,0.61,F
Solidago missouriensis var. fasciculata,1.83,F
Solidago mollis,2.09,F
Sorghastrum nutans,2.1,F
Sphaeralcea coccinea,2.3,F
Stenosiphon linifolius,0.72,F
Thelesperma megapotamicum,0.76,F
Vernonia baldwinii,1.23,F
Brachypodium pinnatum,0.1,M
Bromopsis erecta,0.13,M
Helictotrichon pubescens,0.11,M
Collomia heterophylla,0.16,M
Conyza canadensis,0.19,M
Crepis capillaris,0.31,M
Epilobium paniculatum,0.25,M
Madia gracilis,0.17,M
Senecio sylvaticus,0.26,M
Berberis nervosa,0.44,M
Epilobium angustifolium,0.43,M
Whipplea modesta,0.49,M
Eucalyptus regnans,2.1,C
Eucalyptus regnans,4.1,C
Eucalyptus regnans,5,C
Eucalyptus regnans,7.1,C
Artemisia lerchiana,1.6,F
Achillea nobilis,0.55,M
Ephedra distachya,0.95,M
Artemisia austriaca,0.53,F
Artemisia dracunculus,1.03,M
Artemisia scoparia,1.25,M
Artemisia terrae-albae,1.84,M
Astragalus filicaulis,3.18,M
Astragalus puberulus,1.2,M
Dianthus leptopetalus,2.4,F
Elymus akmolinensis,1.3,M
Ephedra distachya,2.63,M
Equisetum pratense,3.1,M
Eryngium planum,0.76,M
Festuca rupicola,0.76,M
Galatella linosyris,0.6,F
Galium verum,0.59,F
Galium verum,2.55,M
Glycyrrhiza uralensis,4.3,M
Kochia prostrata,3.6,M
Medicago falcata,1.8,M
Onosma simplicissima,1.8,M
