species,family,leaf_phenology,p50,n_p50,rd_max,n_rd
Abies alba,Pinaceae,e,-3.716,(5),2.67,(5)
Abies balsamea,Pinaceae,e,-2.465482,(5),3,(21)
Abies sachalinensis,Pinaceae,e,-3.23,(1),1.7,(1)
Acer campestre,Sapindaceae,d,-4.485,(4),3.45,(2)
Acer negundo,Sapindaceae,d,-2.025,(6),3.92,(6)
Acer platanoides,Sapindaceae,d,-3.4033333333333333,(3),3,(2)
Acer pseudoplatanus,Sapindaceae,d,-2.94875,(8),1.9,(6)
Acer rubrum,Sapindaceae,d,-2.736,(5),3.5,(2)
Acer saccharum,Sapindaceae,d,-2.9337142857142857,(7),3.7,(17)
Acer tataricum,Sapindaceae,d,-2.76,(1),5.1,(3)
Adenostoma fasciculatum,Rosaceae,e,-6.9165849999999995,(2),7.62,(7)
Adenostoma sparsifolium,Rosaceae,e,-4.68,(1),2.44,(2)
Adesmia boronioides,Fabaceae,e,-4.42,(1),2,(1)
Alnus alnobetula,Betulaceae,d,-1.447,(2),1.5464,(1)
Alnus glutinosa,Betulaceae,d,-1.7666666666666668,(3),3.8,(7)
Alnus incana,Betulaceae,d,-1.3565,(2),4.75,(7)
Amelanchier ovalis,Rosaceae,d,-6.87,(1),1.65,(2)
Anacardium excelsum,Anacardiaceae,e,-1.1,(1),4.3,(2)
Araucaria araucana,Araucariaceae,e,-3.06,(1),0.6,(1)
Araucaria cunninghamii,Araucariaceae,e,-2.64,(3),3.2,(1)
Arbutus unedo,Ericaceae,e,-7.84,(1),10,(7)
Arctostaphylos glandulosa,Ericaceae,d,-4.7,(1),5.18,(2)
Arctostaphylos glauca,Ericaceae,e,-9.22,(1),2.59,(2)
Artemisia tridentata,Asteraceae,d,-3.9333333333333336,(3),9.143553795,(38)
Atriplex confertifolia,Amaranthaceae,e,-4.25,(1),1.523925632,(2)
Banksia attenuata,Proteaceae,e,-2.69,(1),8,(4)
Banksia ilicifolia,Proteaceae,e,-2.84,(1),3.7,(1)
Bauhinia variegata,Fabaceae,d,-1.55,(1),1,(1)
Berberis microphylla,Berberidaceae,e,-4.5,(1),2.5,(1)
Betula papyrifera,Betulaceae,d,-1.9665,(2),0.3,(1)
Betula pendula,Betulaceae,d,-1.8172222222222223,(18),6.1,(9)
Brachystegia boehmii,Fabaceae,d,-3.6277,(1),3.65,(9)
Brachystegia floribunda,Fabaceae,d,-1.9743,(1),3.4,(5)
Brachystegia longifolia,Fabaceae,d,-2.2854,(1),5.3,(7)
Brachystegia spiciformis,Fabaceae,d,-3.124,(1),5.5,(14)
Bursera simaruba,Burseraceae,d,-1.145,(2),9,(1)
Carpinus betulus,Betulaceae,d,-3.8728571428571423,(7),3.87,(11)
Caryocar brasiliense,Caryocaraceae,e,-1.775,(4),0.7,(1)
Ceanothus crassifolius,Rhamnaceae,e,-7.699803999999999,(5),1.37,(1)
Ceanothus greggii,Rhamnaceae,e,-6.505,(2),1.37,(3)
Ceanothus leucodermis,Rhamnaceae,e,-4.7,(1),3.66,(2)
Ceanothus megacarpus,Rhamnaceae,e,-9.259776666666667,(6),2.4,(2)
Ceanothus oliganthus,Rhamnaceae,e,-6.2,(1),1.83,(2)
Ceanothus spinosus,Rhamnaceae,e,-7.2,(1),3.1,(2)
Cedrus deodara,Pinaceae,e,-6.811428571428571,(7),2.4,(2)
Cercocarpus betuloides,Rosaceae,e,-7.46,(1),1.52,(2)
Chamaecyparis lawsoniana,Cupressaceae,e,-7.014005,(2),1.1,(1)
Chamaecyparis obtusa,Cupressaceae,e,-3.71,(1),1.7,(4)
Chamaecyparis pisifera,Cupressaceae,e,-3.46,(1),1.2,(4)
Chrysothamnus viscidiflorus,Asteraceae,d,-4.25,(1),2,(5)
Colliguaja integerrima,Euphorbiaceae,e,-4.4,(1),2,(1)
Cornus sanguinea,Cornaceae,d,-6.37,(1),0.9,(2)
Corylus avellana,Betulaceae,d,-2.422,(5),3.45,(3)
Crataegus monogyna,Rosaceae,d,-6.83,(1),1.95,(3)
Cryptomeria japonica,Cupressaceae,e,-3.66,(1),2.4,(2)
Cunninghamia lanceolata,Cupressaceae,e,-3.5,(1),1.6,(1)
Cupressus macrocarpa,Cupressaceae,e,-6.73,(1),4.57,(2)
Dicorynia guianensis,Fabaceae,e,-1.7233333333333334,(3),1.6,(2)
Elaeagnus rhamnoides,Elaeagnaceae,d,-2.0696,(5),2.05,(1)
Encelia farinosa,Asteraceae,e,-6.13,(1),0.55,(1)
Enterolobium cyclocarpum,Fabaceae,d,-2.73,(1),3,(5)
Eperua falcata,Fabaceae,e,-2.0966666666666667,(3),3.5,(2)
Ericameria nauseosa,Asteraceae,d,-2.9,(1),4.571776897,(22)
Erythrophleum africanum,Fabaceae,d,-3.5477,(1),3.1,(9)
Eucalyptus camaldulensis,Myrtaceae,e,-4.287066666666666,(6),9,(3)
Eucalyptus globulus,Myrtaceae,e,-2.51,(3),5,(4)
Eucalyptus grandis,Myrtaceae,e,-2.1685516666666667,(6),28,(8)
Eucalyptus populnea,Myrtaceae,e,-6.33084,(2),5,(3)
Eucalyptus regnans,Myrtaceae,e,-2.7,(1),7.1,(5)
Eucalyptus saligna,Myrtaceae,e,-3.4,(1),6.1,(1)
Eucalyptus sideroxylon,Myrtaceae,e,-4.11944,(1),27.43,(1)
Eucalyptus tereticornis,Myrtaceae,e,-3.89,(1),4.4,(3)
Eucalyptus viminalis,Myrtaceae,e,-3.15346,(1),17.7,(1)
Euonymus europaeus,Celastraceae,d,-5.14,(1),0.75,(1)
Fagus grandifolia,Fagaceae,d,-1.8,(3),1.35,(1)
Fagus sylvatica,Fagaceae,d,-2.9778623391066668,(75),2.4,(16)
Faramea occidentalis,Rubiaceae,e,-4.2924556,(1),0.6,(1)
Frangula alnus,Rhamnaceae,d,-2.92,(2),0.4491,(2)
Fraxinus americana,Oleaceae,d,-1.495,(2),2,(4)
Fraxinus angustifolia,Oleaceae,d,-4.963333333333333,(3),1.7,(2)
Fraxinus excelsior,Oleaceae,d,-2.55375,(8),2,(5)
Ginkgo biloba,Ginkgoaceae,d,-4.446666666666666,(3),2.5,(1)
Goupia glabra,Goupiaceae,d,-3.1300000000000003,(3),0.7,(1)
Heteromeles arbutifolia,Rosaceae,e,-6.32,(2),1.98,(2)
Ilex aquifolium,Aquifoliaceae,e,-4.804,(1),0.91,(2)
